"endTime","artistName","trackName","msPlayed"
"2021-03-30 17:48","Jhay Cortez","No Me Conoce - Remix",7771
"2021-03-30 17:48","Plan B","Ella Fuma",8690
"2021-03-30 17:48","Rosa Pistola","La Línea del Sexxx",0
"2021-03-30 17:48","Uzielito Mix","Suena Perreo",5368
"2021-03-30 18:01","Rosa Pistola","La Línea del Sexxx",181519
"2021-03-30 18:04","Guns N' Roses","Paradise City",98398
"2021-03-30 18:42","Pancho Barraza","Pero La Recuerdo (Cumbia Santa Maria)",14811
"2021-03-30 18:42","Pancho Barraza","Mi Enemigo El Amor",232663
"2021-03-30 18:46","Monica Naranjo","El Amor Coloca",243718
"2021-03-30 18:54","Mecano","Maquillaje",7311
"2021-03-30 18:54","Shakira","Estoy Aquí",449324
"2021-03-31 06:23","Bruno Mars","Locked out of Heaven",61339
"2021-03-31 06:24","Maluma","Hawái - Remix",85194
"2021-03-31 06:27","The Weeknd","Blinding Lights",200040
"2021-03-31 06:28","The Weeknd","In Your Eyes",14738
"2021-03-31 06:31","The Weeknd","Blinding Lights",200040
"2021-03-31 06:31","The Weeknd","In Your Eyes",21033
"2021-03-31 06:35","The Weeknd","Blinding Lights",200040
"2021-03-31 06:35","The Weeknd","In Your Eyes",39732
"2021-03-31 06:36","Camilo","Ropa Cara",65691
"2021-03-31 06:38","Sebastian Yatra","Ya No Tiene Novio",121062
"2021-03-31 06:42","Jowell & Randy","Bien Arrebatao",5540
"2021-03-31 06:42","Jowell & Randy","Si Se Tiran",184729
"2021-03-31 06:45","Jowell & Randy","La Parabí",12325
"2021-03-31 06:45","Jowell & Randy","Si Se Tiran",182149
"2021-03-31 06:46","Jowell & Randy","Tóxicos",69127
"2021-03-31 06:48","Jowell & Randy","Bien Arrebatao",130124
"2021-03-31 06:51","Jowell & Randy","Si Se Tiran",158170
"2021-03-31 06:54","KAROL G","BICHOTA",178946
"2021-03-31 06:58","Super Yei","Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",260545
"2021-03-31 07:01","El Alfa","4K",201500
"2021-03-31 07:02","Bad Bunny","Yo Perreo Sola",29349
"2021-03-31 07:04","Bad Bunny","Bichiyal",141712
"2021-03-31 07:06","Bad Bunny","Que Malo",2778
"2021-03-31 07:06","Bad Bunny","La Zona",120541
"2021-03-31 07:09","Bad Bunny","Una Vez",0
"2021-03-31 07:09","Bad Bunny","A Tu Merced",175918
"2021-03-31 07:12","Bad Bunny","La Zona",136892
"2021-03-31 07:14","Bad Bunny","Que Malo",167975
"2021-03-31 07:16","Bad Bunny","Que Malo",936
"2021-03-31 07:16","Bad Bunny","Vete",68503
"2021-03-31 07:18","Bad Bunny","Que Malo",5362
"2021-03-31 07:18","Bad Bunny","A Tu Merced",4211
"2021-03-31 07:18","Bad Bunny","La Zona",134241
"2021-03-31 07:24","Bad Bunny","DÁKITI",377889
"2021-03-31 07:28","Jhay Cortez","CÓMO SE SIENTE - Remix",1972
"2021-03-31 07:28","Bad Bunny","La Santa",206420
"2021-03-31 07:28","J Balvin","LA CANCIÓN",4335
"2021-03-31 07:28","Bad Bunny","YO VISTO ASÍ",2111
"2021-03-31 07:30","Bad Bunny","Ignorantes",98478
"2021-03-31 07:35","Bad Bunny","DÁKITI",351594
"2021-03-31 07:39","Bad Bunny","Bichiyal",196500
"2021-03-31 07:49","Bad Bunny","NI BIEN NI MAL",6182
"2021-03-31 17:42","박혜진 Park Hye Jin","Like this",245804
"2021-03-31 17:46","Peggy Gou","Starry Night - Edit",233978
"2021-03-31 17:50","Yaeji","Drink I’m Sippin On",201446
"2021-03-31 17:54","The Blaze","Territory",276373
"2021-03-31 17:58","The Blaze","Faces",237773
"2021-03-31 18:02","Peggy Gou","It Makes You Forget (Itgehane) - Edit",236160
"2021-03-31 18:06","Yaeji","Raingurl",9562
"2021-03-31 18:06","Baltra","Ahead Of Time - Edit",9772
"2021-03-31 18:06","Peggy Gou","Han Jan - Edit",242982
"2021-03-31 18:11","The Blaze","Territory",276373
"2021-03-31 18:15","The Blaze","Faces",237773
"2021-03-31 18:19","Peggy Gou","It Makes You Forget (Itgehane) - Edit",236160
"2021-03-31 18:42","Peggy Gou","Han Jan - Edit",156900
"2021-03-31 18:51","The Cardigans","Erase / Rewind",218504
"2021-03-31 18:55","The Fray","How to Save a Life",262533
"2021-03-31 19:00","Sting","Desert Rose",285960
"2021-03-31 19:04","Moby","Porcelain",238920
"2021-03-31 19:08","Keane","Everybody's Changing",215880
"2021-03-31 19:14","The Verve","Bitter Sweet Symphony",357266
"2021-03-31 19:17","Lily Allen","The Fear",207120
"2021-03-31 19:18","The Cranberries","Linger",20804
"2021-03-31 19:19","Dido","White Flag",109186
"2021-03-31 19:19","Dido","Thank You",2072
"2021-03-31 19:23","Sophie Ellis-Bextor","Murder On The Dancefloor",230013
"2021-03-31 19:23","Lenny Kravitz","It Ain't Over 'Til It's Over",2681
"2021-03-31 19:23","Nelly Furtado","Turn Off The Light",11934
"2021-03-31 19:24","Youssou N'Dour","7 Seconds (feat. Neneh Cherry)",4490
"2021-03-31 19:24","t.A.T.u.","All The Things She Said",3474
"2021-03-31 19:27","t.A.T.u.","All About Us",180960
"2021-03-31 19:31","t.A.T.u.","Not Gonna Get Us",260546
"2021-03-31 19:32","t.A.T.u.","30 Minutes",89884
"2021-03-31 19:32","Placebo","Special Needs",2864
"2021-03-31 19:37","Lana Del Rey","Video Games",243065
"2021-04-01 01:16","Sebastian Yatra","Ya No Tiene Novio",198933
"2021-04-01 01:16","Milky Chance","Losing You",7268
"2021-04-01 01:16","Sebastian Yatra","Devuélveme El Corazón",11487
"2021-04-01 01:17","Milky Chance","Ego",15139
"2021-04-01 01:17","Rhye","The Fall",1419
"2021-04-01 01:17","Milky Chance","Loveland - Studio Version",2839
"2021-04-01 01:20","alt-J","Tessellate",181400
"2021-04-01 01:25","alt-J","Taro",305980
"2021-04-01 01:26","Milky Chance","Sweet Sun",65517
"2021-04-01 01:29","SOHN","Tremors",1602
"2021-04-01 01:29","Milky Chance","Bad Things",175844
"2021-04-01 01:29","Milky Chance","Flashed Junk Mind",6069
"2021-04-01 01:34","Milky Chance","Stolen Dance",313626
"2021-04-01 01:38","SOHN","Tremors",209827
"2021-04-01 01:42","SOHN","The Wheel",233017
"2021-04-01 02:09","Beirut","The Rip Tide",225327
"2021-04-01 02:12","KAROL G","BICHOTA",178946
"2021-04-01 02:14","Super Yei","Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",139615
"2021-04-01 03:37","t.A.T.u.","All The Things She Said",214440
"2021-04-01 03:42","t.A.T.u.","Not Gonna Get Us",208956
"2021-04-01 03:45","The Knife","Pass This On",222794
"2021-04-01 03:49","The Knife","Pass This On",216027
"2021-04-01 03:50","t.A.T.u.","All The Things She Said",77574
"2021-04-01 03:50","Placebo","Special Needs",250
"2021-04-01 03:54","Bad Bunny","DÁKITI",38554
"2021-04-01 03:54","Lily Allen","Chinese",196087
"2021-04-01 03:56","Bad Bunny","La Zona",136892
"2021-04-01 04:01","Bad Bunny","Que Malo",89281
"2021-04-01 04:03","Bad Bunny","La Zona",136892
"2021-04-01 04:05","Bad Bunny","Que Malo",100852
"2021-04-01 04:08","Bad Bunny","Bichiyal",196500
"2021-04-01 04:09","Bad Bunny","Soliá",4732
"2021-04-01 04:11","Bad Bunny","La Zona",136892
"2021-04-01 04:14","Bad Bunny","Que Malo",167975
"2021-04-01 04:14","Bad Bunny","Vete",19900
"2021-04-01 04:15","Kali Uchis","te pongo mal(prendelo)",91261
"2021-04-01 05:50","Kali Uchis","no eres tu(soy yo)",1203
"2021-04-01 05:50","Kali Uchis","telepatía",148964
"2021-04-01 05:51","Kali Uchis","ángel sin cielo",2493
"2021-04-01 05:51","Kali Uchis","te pongo mal(prendelo)",730
"2021-04-01 05:51","Kali Uchis","¡aquí yo mando!",30223
"2021-04-01 05:53","Kali Uchis","telepatía",160191
"2021-04-01 05:55","Kali Uchis","no eres tu(soy yo)",121145
"2021-04-01 05:56","Kali Uchis","de nadie",5064
"2021-04-01 05:58","Kali Uchis","vaya con dios",2046
"2021-04-01 05:58","Kali Uchis","quiero sentirme bien",23
"2021-04-01 05:58","Kali Uchis","¡aquí yo mando!",135386
"2021-04-01 06:00","Kali Uchis","telepatía",160191
"2021-04-01 06:02","Kali Uchis","no eres tu(soy yo)",121145
"2021-04-01 06:05","Kali Uchis","de nadie",179902
"2021-04-01 06:08","Kali Uchis","¡aquí yo mando!",141954
"2021-04-01 06:11","Kali Uchis","te pongo mal(prendelo)",172621
"2021-04-01 06:14","Kali Uchis","la luz(Fín)",180000
"2021-04-01 06:16","Kali Uchis","ángel sin cielo",123459
"2021-04-01 06:17","IAMDDB","Shade",92782
"2021-04-01 15:50","Bad Bunny","La Zona",105240
"2021-04-01 15:53","Bad Bunny","Que Malo",167975
"2021-04-01 15:53","Bad Bunny","Vete",319
"2021-04-01 15:55","Bad Bunny","Que Malo",2081
"2021-04-01 15:55","Bad Bunny","A Tu Merced",127723
"2021-04-01 15:55","Bad Bunny","Ignorantes",8352
"2021-04-01 15:57","Bad Bunny","Que Malo",8035
"2021-04-01 15:57","Bad Bunny","La Zona",136892
"2021-04-01 15:58","Bad Bunny","A Tu Merced",45451
"2021-04-01 15:58","The Knife","Pass This On",5862
"2021-04-01 16:00","Kali Uchis","telepatía",101485
"2021-04-01 16:02","Kali Uchis","no eres tu(soy yo)",116660
"2021-04-01 16:02","Kali Uchis","de nadie",1655
"2021-04-01 16:03","Kali Uchis","¡aquí yo mando!",88584
"2021-04-01 16:04","Kali Uchis","la luz(Fín)",591
"2021-04-01 16:04","Kali Uchis","te pongo mal(prendelo)",4065
"2021-04-01 16:04","Kali Uchis","fue mejor",7384
"2021-04-01 16:04","Kali Uchis","telepatía",4589
"2021-04-01 16:04","Kali Uchis","de nadie",2260
"2021-04-01 16:06","Kali Uchis","te pongo mal(prendelo)",637
"2021-04-01 16:06","Kali Uchis","¡aquí yo mando!",141954
"2021-04-01 16:09","Kali Uchis","telepatía",147731
"2021-04-01 16:10","Kali Uchis","no eres tu(soy yo)",101179
"2021-04-01 16:13","Kali Uchis","¡aquí yo mando!",141954
"2021-04-01 16:16","Kali Uchis","te pongo mal(prendelo)",172621
"2021-04-01 16:19","Kali Uchis","la luz(Fín)",180000
"2021-04-01 16:21","Kali Uchis","ángel sin cielo",116506
"2021-04-01 17:00","Benny Sings","Passionfruit",193635
"2021-04-01 17:04","Christine and the Queens","Christine",234680
"2021-04-01 17:07","Dennis Lloyd","Nevermind",156600
"2021-04-01 17:12","Escape from New York","Fire in My Heart",313796
"2021-04-01 17:16","Fakear","La lune rousse",226765
"2021-04-01 17:18","Flume","The Difference",139662
"2021-04-01 17:22","Glass Animals","Flip",222840
"2021-04-01 17:44","Jamie xx","Obvs",562
"2021-04-01 17:44","Gotye","State Of The Art",322030
"2021-04-01 18:01","Unknown Mortal Orchestra","Hunnybee",268333
"2021-04-01 18:06","Gotye","State Of The Art",322080
"2021-04-01 18:10","Röyksopp","So Easy",249360
"2021-04-01 18:14","Lykke Li","I'm Good, I'm Gone",189093
"2021-04-01 18:18","Peggy Gou","Han Jan - Edit",242982
"2021-04-01 18:23","Escape from New York","Fire in My Heart",313796
"2021-04-01 18:27","slenderbodies","anemone",228061
"2021-04-01 18:32","Röyksopp","Here She Comes Again",302270
"2021-04-01 18:34","Dennis Lloyd","Nevermind",156600
"2021-04-01 18:39","Télépopmusik","Breathe",282240
"2021-04-01 18:42","MOSSS","Here If You Want (Pale Blue)",199035
"2021-04-01 18:46","Morcheeba","Never Undo",225440
"2021-04-01 18:53","Junior Boys","Under The Sun",422853
"2021-04-01 18:57","Glass Animals","Flip",222840
"2021-04-01 19:01","Rhye","3 Days",255720
"2021-04-01 19:09","Polo & Pan","Nanã",42873
"2021-04-01 19:10","Rhye","Feel Your Weight - Poolside Remix",90145
"2021-04-01 19:12","Junior Boys","Under The Sun",2431
"2021-04-01 19:12","Jamie xx","Obvs",1620
"2021-04-01 19:16","Kavinsky","Nightcall - Breakbot Remix",219813
"2021-04-01 19:20","Kazy Lambist","Doing Yoga",291573
"2021-04-01 19:26","L'Impératrice","Sonate Pacifique",348944
"2021-04-01 19:30","L'Impératrice","Vanille fraise",238183
"2021-04-01 19:33","Lykke Li","I'm Good, I'm Gone",189093
"2021-04-01 19:37","Miel De Montagne","L'amour",206007
"2021-04-01 19:40","Morcheeba","Never Undo",225440
"2021-04-01 19:44","MOSSS","Here If You Want (Pale Blue)",199035
"2021-04-01 19:48","Mr Twin Sister","Echo Arms",267604
"2021-04-01 19:53","NEIL FRANCES","Dumb Love",282728
"2021-04-01 19:56","NEIL FRANCES","Music Sounds Better with You",198305
