rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,date,year,month,week
156,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,Bad Bunny,La Difícil,Rimas Entertainment LLC,3,142,87,763891,2022-01-13,2022,01,2
157,spotify:track:1qfoq1qvZT7VwDVeekCJ97,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,17,105,144,763752,2022-01-13,2022,01,2
158,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,83,-1,29,760646,2022-01-13,2022,01,2
159,spotify:track:5jzEwSyyymBlf1fa1o39T2,"Mora, Jhay Cortez",512,Rimas Entertainment LLC,18,145,37,759969,2022-01-13,2022,01,2
160,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,63,172,23,758239,2022-01-13,2022,01,2
161,spotify:track:5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,WEA Latina,2,190,144,755473,2022-01-13,2022,01,2
162,spotify:track:4skuEIloXWuxxgekKupkEH,Mon Laferte,Tu Falta De Querer,Universal Music Mexico,52,191,124,751359,2022-01-13,2022,01,2
163,spotify:track:3lR4O0vtkhCAvVEUEWUL0S,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,WM Mexico,6,137,123,745033,2022-01-13,2022,01,2
164,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE - Remix,N&E Entertainment LLC,26,167,88,743067,2022-01-13,2022,01,2
165,spotify:track:1quaoU1wjFHLkDXC3bNghk,Luis R Conriquez,El Buho,Kartel Music,151,180,11,741359,2022-01-13,2022,01,2
166,spotify:track:7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,YG Entertainment/Interscope Records,36,168,16,741130,2022-01-13,2022,01,2
167,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,The Weeknd,Gasoline,XO / Republic Records,167,-1,1,740492,2022-01-13,2022,01,2
168,spotify:track:6b2HYgqcK9mvktt4GxAu72,"Justin Quiles, Chimbala, Zion & Lennox",Loco,WEA Latina,53,138,28,738517,2022-01-13,2022,01,2
169,spotify:track:2Ghp894n1laIf2w98VeAOJ,The Weeknd,How Do I Make You Love Me?,XO / Republic Records,169,-1,1,737492,2022-01-13,2022,01,2
170,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,84,171,177,735767,2022-01-13,2022,01,2
171,spotify:track:2D4dV2KXDTszzJ3p3cFqhA,The Weeknd,Less Than Zero,XO / Republic Records,171,-1,1,733700,2022-01-13,2022,01,2
172,spotify:track:4vCAzANUWDE24URV6wQ4ra,Bad Bunny,Otra Noche en Miami,Rimas Entertainment LLC,86,186,49,731184,2022-01-13,2022,01,2
173,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,Rimas Entertainment LLC,1,158,98,730523,2022-01-13,2022,01,2
174,spotify:track:61YzdCCBPM5Pc7lIiD5i8C,"K'NAAN, Adam Levine",Bang Bang,Interscope Records*,174,-1,1,730333,2022-01-13,2022,01,2
175,spotify:track:0gOwkN1piWLMINfj97SogV,"Pancho Barraza, Grupo Firme",Música Romántica,Pachy / RB Music,99,150,25,722984,2022-01-13,2022,01,2
176,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,"ROSALÍA, The Weeknd",LA FAMA (with The Weeknd),Columbia,65,188,9,721798,2022-01-13,2022,01,2
177,spotify:track:6vPAmoERUMRoTZaCCSWQ12,Luis Miguel,Hasta Que Me Olvides,WEA Latina,11,161,109,720584,2022-01-13,2022,01,2
178,spotify:track:2g12ZAzSIybDe6QC3w9DYl,Grupo Marca Registrada,El Doctor,RB Music,177,177,7,719445,2022-01-13,2022,01,2
179,spotify:track:16alCAQtM9TPU6FUexEUnh,Kenia OS,La Noche,Sony Music México,81,132,7,718052,2022-01-13,2022,01,2
180,spotify:track:00jpfco62YfQj1BBYCCuKH,Cartel De Santa,Leve,"Babilonia Music, S.A. De C.V.",25,-1,181,717847,2022-01-13,2022,01,2
181,spotify:track:38RIEav39FGi86jppxO0du,"Bad Bunny, Sech",Ignorantes,Rimas Entertainment LLC,2,183,78,712924,2022-01-13,2022,01,2
182,spotify:track:7A07Yu1dRND3RKDzbhKrDs,Intocable,Fuerte No Soy,Capitol Latin,97,131,69,712862,2022-01-13,2022,01,2
183,spotify:track:6srBp90EwADKAF7PorGiUC,Adolescent's Orquesta,Virgen,KORTA RECORDS,142,163,15,712773,2022-01-13,2022,01,2
184,spotify:track:0KUPRHjyvFMnl4XLN3q1S1,"Polo Gonzalez, Aldo Trujillo",Tan Solo Morro,GodKing Records,140,-1,9,711805,2022-01-13,2022,01,2
185,spotify:track:1Z0auW1yEy6Dq9hsRdeIV3,El Fantasma,Soy Buen Amigo,Afinarte Music,130,169,10,710896,2022-01-13,2022,01,2
186,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,138,-1,13,709938,2022-01-13,2022,01,2
187,spotify:track:66x45Yh9x397PWpxMX0ZDT,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY),"Sueños Globales, LLC",4,179,77,709897,2022-01-13,2022,01,2
188,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,181,-1,2,709526,2022-01-13,2022,01,2
189,spotify:track:26w9NTiE9NGjW1ZvIOd1So,Bad Bunny,BOOKER T,Rimas Entertainment LLC,10,197,38,706032,2022-01-13,2022,01,2
190,spotify:track:6G2xXQRSZlEzYsUEb3uvuR,Ivan Cornejo,Está Dañada,"Manzana Records, Inc.",30,198,14,705091,2022-01-13,2022,01,2
191,spotify:track:2FSGUA0gFgGeQdprjtGM2M,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,7,165,42,704724,2022-01-13,2022,01,2
192,spotify:track:4CLkDJ4xLqkV4Vt2vPOny1,El Fantasma,Palabra de Hombre,Afinarte Music,49,141,97,704458,2022-01-13,2022,01,2
193,spotify:track:1iRvhKiXRElIH2Uf4gd95P,Jesse & Joy,Dueles,WM Mexico,43,-1,64,701997,2022-01-13,2022,01,2
194,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,14,-1,31,701060,2022-01-13,2022,01,2
195,spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,Luis Miguel,La Incondicional,WEA Latina,26,187,197,698447,2022-01-13,2022,01,2
196,spotify:track:4ggabbjjuHrG06SsYnqvEs,Chayín Rubio,Ya Me Enteré,UMLE - Fonovisa,61,155,118,697966,2022-01-13,2022,01,2
197,spotify:track:587p8shYuTXUhThG3t9x60,Los Tucanes De Tijuana,El Amor Soñado,Master Q Music,113,181,23,690926,2022-01-13,2022,01,2
198,spotify:track:15yuvKhcoEtV5KwKxqHSwa,"Cartel De Santa, Millonario",Burbujas de Cristal,"Babilonia Music, S.A. De C.V.",65,-1,24,690667,2022-01-13,2022,01,2
199,spotify:track:4cV6ld7uIs906zOwNscoBM,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",2 Veces,Universal Music Mexico,39,164,45,689149,2022-01-13,2022,01,2
200,spotify:track:3KJ3opyV29269SXkPrc19l,Bad Bunny,120,Rimas Entertainment LLC,24,-1,6,687577,2022-01-13,2022,01,2
1,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,1,1,6,5156542,2021-03-25,2021,03,4
2,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,2,21,4561377,2021-03-25,2021,03,4
3,spotify:track:7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,UMLE - Latino,2,3,22,4066214,2021-03-25,2021,03,4
4,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,White World Music,3,4,14,4012191,2021-03-25,2021,03,4
5,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,3,5,17,3425860,2021-03-25,2021,03,4
6,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,"Los Legendarios, Wisin, Jhay Cortez",Fiel,La Base Music Group/ WK Records,6,14,6,3037022,2021-03-25,2021,03,4
7,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawái,Sony Music Latin,1,6,34,2837088,2021-03-25,2021,03,4
8,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,5,8,13,2770853,2021-03-25,2021,03,4
9,spotify:track:4loQgPwJHocL3dFwLfjb1J,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,5,9,22,2751415,2021-03-25,2021,03,4
10,spotify:track:079Ey5uxL04AKPQgVQwx5h,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),Selena Gomez Latin Project,7,7,8,2614853,2021-03-25,2021,03,4
11,spotify:track:5YYW3yRktprLRr47WK219Y,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,Sony Music Latin,10,10,5,2385162,2021-03-25,2021,03,4
12,spotify:track:7D93pJcwymzaZx8WgBo2zG,Rauw Alejandro,Algo Mágico,Sony Music Latin/Duars Entertainment,11,11,8,2263258,2021-03-25,2021,03,4
13,spotify:track:3VvA1wSxukMLsvXoXtlwWx,Boza,Hecha Pa' Mi,Sony Music Latin,6,12,18,2195661,2021-03-25,2021,03,4
14,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,2,13,69,2049358,2021-03-25,2021,03,4
15,spotify:track:35UUpTmrcFXNIVIN26ujXl,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,Rich Music,2,16,29,2032540,2021-03-25,2021,03,4
16,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,4,17,17,1949128,2021-03-25,2021,03,4
17,spotify:track:2bgcUk2A3jjKbCJ7KPquTi,"Wisin, Myke Towers, Los Legendarios",Mi Niña,La Base Music Group/ WK Records,10,18,25,1914981,2021-03-25,2021,03,4
18,spotify:track:00szcRmgqJGtqrfIUYkM1h,"Piso 21, Maluma",Más De La Una,WM Mexico,18,21,16,1909804,2021-03-25,2021,03,4
19,spotify:track:4PEfJZpVjdclfzZ9XO8uDw,"Kevin Roldan, Bryant Myers, Lyanno",Hasta Abajo,UMLE - Latino,17,20,20,1878369,2021-03-25,2021,03,4
20,spotify:track:2zY1iTaEgs8ROkkWtWLe7l,Camilo,Ropa Cara,Sony Music Latin,4,15,10,1803718,2021-03-25,2021,03,4
21,spotify:track:5Km4r87BoX2qqtoprYS1gh,"KAROL G, Anuel AA, J Balvin",LOCATION,UMLE - Latino,19,19,6,1788731,2021-03-25,2021,03,4
22,spotify:track:4RJz8NfIe09gpKMiRUWKhJ,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),Sony Music Latin,6,26,31,1767477,2021-03-25,2021,03,4
23,spotify:track:7ndTONDDRFGiPnnhOzOXxq,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,Sony Music Latin/La Industria,11,22,24,1767359,2021-03-25,2021,03,4
24,spotify:track:11EnQRgRMJwMAesfkB5pnu,"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),Shots Studios & Music/10:22pm/Interscope Records,2,24,29,1736007,2021-03-25,2021,03,4
25,spotify:track:2TksvaRivgAEj780DgRB73,Sech,911,Rich Music,25,43,6,1725264,2021-03-25,2021,03,4
26,spotify:track:4nbWX2HzrOEnX4xxvYRCyU,"El Fantasma, Los Dos Carnales",Cabrón y Vago - En Vivo,Afinarte Music,17,23,33,1720187,2021-03-25,2021,03,4
27,spotify:track:16ONd70tvWAaLIc6hcLzaG,Christian Nodal,Aquí Abajo,Universal Music Mexico,6,27,37,1691016,2021-03-25,2021,03,4
28,spotify:track:15OjBeqNX3bShsGYQbteRv,Farruko,La Tóxica,Sony Music Latin,4,25,30,1690102,2021-03-25,2021,03,4
29,spotify:track:7E9GeFGfjXw9LAI4ay6rsw,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,29,29,21,1643081,2021-03-25,2021,03,4
30,spotify:track:2vBET2pmrQqafaS6zIaYta,"Black Eyed Peas, Shakira",GIRL LIKE ME,Epic,17,28,15,1599840,2021-03-25,2021,03,4
31,spotify:track:6RV9pRLIQiXm3qTGeyQluf,"Camilo, Evaluna Montaner",Machu Picchu,Sony Music Latin,25,34,3,1565410,2021-03-25,2021,03,4
32,spotify:track:1s59X35jDULAyOGmBuTAnd,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,30,32,68,1558800,2021-03-25,2021,03,4
33,spotify:track:4jcxBTrNvyqMJdMDyyjdYV,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,Universal Music Mexico,4,30,19,1545982,2021-03-25,2021,03,4
34,spotify:track:21N4Buj4xsyLb218lYle61,"Sebastian Yatra, Guaynaa",Chica Ideal,UMLE - Latino,12,31,22,1531704,2021-03-25,2021,03,4
35,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,35,-1,1,1508462,2021-03-25,2021,03,4
36,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,8,33,11,1478010,2021-03-25,2021,03,4
37,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,6,35,39,1443093,2021-03-25,2021,03,4
38,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),Universal Music Latino/ NEON16,4,36,35,1440531,2021-03-25,2021,03,4
39,spotify:track:3lR4O0vtkhCAvVEUEWUL0S,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,WM Mexico,6,37,81,1425668,2021-03-25,2021,03,4
40,spotify:track:0vtYnEw1eJwW26BrBnOAYJ,Banda MS de Sergio Lizárraga,La Casita,Lizos Music,37,42,10,1384783,2021-03-25,2021,03,4
41,spotify:track:4nTduFjaTmGysc9WKNuCcs,Camilo,Vida de Rico,Sony Music Latin,5,38,27,1361127,2021-03-25,2021,03,4
42,spotify:track:2G5kj8gYNAVM4pQ0IBBaGA,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",2 Veces,Universal Music Mexico,42,46,3,1354487,2021-03-25,2021,03,4
43,spotify:track:2QwMXe5zbqymDZGYsMDVqZ,Carin Leon,Me La Avente,Tamarindo Rekordsz,27,44,94,1342483,2021-03-25,2021,03,4
44,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,8,52,73,1329824,2021-03-25,2021,03,4
45,spotify:track:26w9NTiE9NGjW1ZvIOd1So,Bad Bunny,BOOKER T,Rimas Entertainment LLC,10,41,17,1296003,2021-03-25,2021,03,4
46,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1,47,91,1277224,2021-03-25,2021,03,4
47,spotify:track:7jL2tCE0Xn2tunqWayBkte,Danna Paola,Calla Tú,Universal Music Mexico,28,40,10,1274439,2021-03-25,2021,03,4
48,spotify:track:3Zf4GutWZ7Hv3wsVQsSQPs,"Camilo, El Alfa",BEBÉ,Sony Music Latin,17,39,17,1273089,2021-03-25,2021,03,4
49,spotify:track:5KFHrrBMyGj5MhVbZMM3ts,J Balvin,Tu Veneno,"Sueños Globales, LLC",49,-1,1,1271707,2021-03-25,2021,03,4
50,spotify:track:1qfoq1qvZT7VwDVeekCJ97,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,17,45,102,1254408,2021-03-25,2021,03,4
51,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,1,48,72,1186923,2021-03-25,2021,03,4
52,spotify:track:6fmQjRuo7XvRFCK2qex5hQ,Jerry Di,Mi Cuarto,Nacho,4,53,33,1178321,2021-03-25,2021,03,4
53,spotify:track:4C6BlqqMwjFzOXzqpTeoWR,Justin Quiles,Ponte Pa' Mi,WEA Latina,44,55,17,1175017,2021-03-25,2021,03,4
54,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,54,86,6,1173921,2021-03-25,2021,03,4
55,spotify:track:2fIPEgY8CJ4hh5UDZa2lB9,Humbe,EL POETA,Sony Music México,49,49,2,1145031,2021-03-25,2021,03,4
56,spotify:track:6dyUkkcyYuDiHOwIRXYOJm,"Wisin, Yandel, Farruko, Jon Z, Don Chezina, Chencho Corleone, Myke Towers","3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Sony Music Latin,51,51,7,1140280,2021-03-25,2021,03,4
57,spotify:track:2dl5K2ScW7jYhAhuem06cm,Daddy Yankee,PROBLEMA,Republic Records,57,88,4,1134660,2021-03-25,2021,03,4
58,spotify:track:6CFaze42M5wiTqMidNtJLE,"Alejandro Fernández, Christian Nodal",Duele,UMLE - Latino,34,50,6,1132649,2021-03-25,2021,03,4
59,spotify:track:2mM3gZ0BbPwPPMelbA8vgt,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",No Te Enamores - Remix,Carbon Fiber Music,46,54,12,1128757,2021-03-25,2021,03,4
60,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,28,68,55,1119525,2021-03-25,2021,03,4
61,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,61,101,13,1117352,2021-03-25,2021,03,4
62,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,21,57,222,1110870,2021-03-25,2021,03,4
63,spotify:track:41BzKiCrKpUQHS3TP0jmdr,Maluma,Agua de Jamaica,Sony Music Latin,51,59,8,1107942,2021-03-25,2021,03,4
64,spotify:track:4R8BJggjosTswLxtkw8V7P,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,3,62,97,1094120,2021-03-25,2021,03,4
65,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,"Ozuna, J Balvin, Chencho Corleone",Una Locura,Aura Music Corp.,18,77,29,1081173,2021-03-25,2021,03,4
66,spotify:track:6sRaqq9SYsSTPvrWkL1sRy,Mi Banda El Mexicano,Ramito De Violetas,Craft Recordings,40,56,58,1078881,2021-03-25,2021,03,4
67,spotify:track:2lCkncy6bIB0LTMT7kvrD1,J Balvin,Azul,UMLE - Latino,1,58,53,1076974,2021-03-25,2021,03,4
68,spotify:track:1nLs8r6K4YN0avBwUmmTnr,Carin Leon,Tú,Tamarindo Rekordsz,14,61,43,1066843,2021-03-25,2021,03,4
69,spotify:track:7x4ASXYEKfQBCewcZhK776,KAROL G,"Ay, DiOs Mío!",UMLE - Latino,3,60,37,1062778,2021-03-25,2021,03,4
70,spotify:track:7paFC3FEu1WtPVP4Do6VZN,Christian Nodal,Se Me Olvidó,Universal Music Mexico,3,66,55,1059056,2021-03-25,2021,03,4
71,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,71,76,3,1054914,2021-03-25,2021,03,4
72,spotify:track:0akyEssGRVHstqCSWXusJL,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,21,80,115,1051929,2021-03-25,2021,03,4
73,spotify:track:4CLkDJ4xLqkV4Vt2vPOny1,El Fantasma,Palabra de Hombre,Afinarte Music,49,65,55,1044187,2021-03-25,2021,03,4
74,spotify:track:4G3PTss3mU33Tau7t4KbwE,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,Sony Music Latin/Duars Entertainment,4,67,37,1042816,2021-03-25,2021,03,4
75,spotify:track:3GtnId3Cm1Xa6joCj08nzW,Justin Quiles,Jeans,WEA Latina,12,64,31,1041451,2021-03-25,2021,03,4
76,spotify:track:4soIDKXJbxGnSMmADYnANT,"Nanpa Básico, Gera MX, Charles Ans",Los No Tan Tristes,Los No Tan Tristes,43,89,5,1031986,2021-03-25,2021,03,4
77,spotify:track:45S5WTQEGOB1VHr1Q4FuPl,Harry Styles,Golden,Columbia,56,74,22,1018533,2021-03-25,2021,03,4
78,spotify:track:6bvfJf4KjonPMuPfGfy3S2,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,"Flow La Movie, Inc.",1,71,45,1017364,2021-03-25,2021,03,4
79,spotify:track:4K8cyoCDovlc4FvtUr2Hfx,"Cali Y El Dandee, Danna Paola",Nada,Cali y El Dandee PS,20,72,32,1007156,2021-03-25,2021,03,4
80,spotify:track:48XgkAh1fkcZqA2EZWCDX6,"Aleman, Snoop Dogg",Mi Tío Snoop,Homegrown Entertainment,36,63,17,1006231,2021-03-25,2021,03,4
81,spotify:track:3p6eieHX6oEOzJStPtEsLu,Calibre 50,Si Te Pudiera Mentir,Calibre,79,79,35,1002964,2021-03-25,2021,03,4
82,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,Rimas Entertainment LLC,1,73,56,996495,2021-03-25,2021,03,4
83,spotify:track:63Zaf8Rci6eOUPqDQ4fUFx,"Camilo, Christian Nodal",La Mitad,Sony Music Latin,17,81,49,989356,2021-03-25,2021,03,4
84,spotify:track:7hbk4BaF66O09R1gq0bKwj,Christian Nodal,No Te Contaron Mal,Universal Music Mexico,9,85,133,988311,2021-03-25,2021,03,4
85,spotify:track:21bfgzz92T3L96IsFn8Kvy,Grupo Firme,El Roto - En Vivo,Music VIP Entertainment,50,87,76,985548,2021-03-25,2021,03,4
86,spotify:track:41wtwzCZkXwpnakmwJ239F,Bad Bunny,Si Veo a Tu Mamá,Rimas Entertainment LLC,1,75,56,981058,2021-03-25,2021,03,4
87,spotify:track:69vlMrzHwATKzupwNcUPyK,"Bad Bunny, Daddy Yankee",La Santa,Rimas Entertainment LLC,5,78,56,972807,2021-03-25,2021,03,4
88,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,"Bizarrap, Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36",DALE PLAY Records,22,70,16,965685,2021-03-25,2021,03,4
89,spotify:track:2MeEuwplwbbjZ7hxRI6viw,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),Music VIP Entertainment Inc,47,84,66,952776,2021-03-25,2021,03,4
90,spotify:track:26QApq0cuO9brJigr0C0W4,Bad Bunny,HACIENDO QUE ME AMAS,Rimas Entertainment LLC,5,82,17,951731,2021-03-25,2021,03,4
91,spotify:track:34LI7rwi9H8w2S5KTHnv1M,Manuel Turizo,Quiéreme Mientras Se Pueda,Sony Music Latin/La Industria,21,92,43,948294,2021-03-25,2021,03,4
92,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),2,91,80,948211,2021-03-25,2021,03,4
93,spotify:track:6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,Atlantic Records,1,94,217,937309,2021-03-25,2021,03,4
94,spotify:track:6VuUMo1TusnqBxLTnr3hOI,León Larregui,Brillas,EMI México,43,95,222,931245,2021-03-25,2021,03,4
95,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,21,83,31,922038,2021-03-25,2021,03,4
96,spotify:track:35wvL50xvKpCHEJPxLOLPI,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,52,93,97,920708,2021-03-25,2021,03,4
97,spotify:track:53PoPAD389bBE4ePYuT95g,Los Dos Carnales,El Envidioso,Afinarte Music,52,90,41,919356,2021-03-25,2021,03,4
98,spotify:track:1nahzW3kfMuwReTka28tH5,Justin Bieber,Hold On,RBMG/Def Jam,98,-1,2,900078,2021-03-25,2021,03,4
99,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,1,96,95,894316,2021-03-25,2021,03,4
100,spotify:track:22Sh5dlwbERqJAq1fZk5b2,"Rauw Alejandro, J Balvin",De Cora <3,Sony Music Latin/Duars Entertainment,52,107,19,892181,2021-03-25,2021,03,4
101,spotify:track:1l77YWrGUp3qX3NS1rz7lq,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,Lizos Music,24,97,180,890647,2021-03-25,2021,03,4
102,spotify:track:6VZMIyzOupI4vA68RaUgXb,"Reik, Christian Nodal",Poco,Sony Music México,44,98,17,888309,2021-03-25,2021,03,4
103,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE - Remix,N&E Entertainment LLC,26,108,46,881502,2021-03-25,2021,03,4
104,spotify:track:2hqvvHxbWNHBnknhTSKaac,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,93,103,29,880574,2021-03-25,2021,03,4
105,spotify:track:4NUt1fcnO9aQAELBgXq3Kr,Alejandro Fernández,Me Dediqué a Perderte,Columbia,73,105,222,879147,2021-03-25,2021,03,4
106,spotify:track:2n7ohqg1s68ToAHh4u9mcW,Bad Bunny,Vete,Rimas Entertainment LLC,1,99,70,877293,2021-03-25,2021,03,4
107,spotify:track:3fBJNawfhtgCmo58trRK2z,Banda MS de Sergio Lizárraga,Cerrando Ciclos,Lizos Music,100,110,17,870733,2021-03-25,2021,03,4
108,spotify:track:6WYB1odDfMPVMyp1QxFInT,Eslabon Armado,Con Tus Besos,Eslabon Armado,47,106,49,867131,2021-03-25,2021,03,4
109,spotify:track:1mauYRwbpoGQX6itP2FAJC,"Nicky Jam, Romeo Santos",Fan de Tus Fotos,Sony Music Latin,106,143,5,853189,2021-03-25,2021,03,4
110,spotify:track:0JAZWvvqttGFm4UMDsPQXC,"Ozuna, Camilo",Despeinada,Aura Music Corp.,27,104,28,853166,2021-03-25,2021,03,4
111,spotify:track:4r9jkMEnArtWGH2rL2FZl0,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,18,102,56,851080,2021-03-25,2021,03,4
112,spotify:track:0SqqAgdovOE24BzxIClpjw,Bad Bunny,Yo Perreo Sola,Rimas Entertainment LLC,1,109,56,831248,2021-03-25,2021,03,4
113,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,18,124,52,830536,2021-03-25,2021,03,4
114,spotify:track:1Z04XN4pH2b8JfdiaIEkl5,"Los 2 de la S, Banda MS de Sergio Lizárraga",Somos Los Que Somos - En Vivo,Lizos Music,99,111,13,829475,2021-03-25,2021,03,4
115,spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,Luis Miguel,La Incondicional,WEA Latina,26,119,155,826215,2021-03-25,2021,03,4
116,spotify:track:5DoLhdU27owX1NMrKLUbUl,sh1ro,Sense,sh1ro,9,112,36,825584,2021-03-25,2021,03,4
117,spotify:track:3mV5TTtHnXUeOzRkyFKsVl,Banda MS de Sergio Lizárraga,Por Mi No Te Detengas,Lizos Music,96,115,82,825192,2021-03-25,2021,03,4
